;text;label;alasan_kata;name
144;"Ada konflik agraria &amp; konflik di Papua -&gt; Naikin isu nasional (KUHP, KPK, PKS, dll) -&gt; Isu agraria &amp; konflik Papua… https://t.co/5hk9Hj6rRx";neg;konflik;vbrstrdi
145;"""@MerryRiana: Hari begini masih ada saja oknum2 yg tdk bertanggung jawab yg memotong video saya &amp; menempelnya dgn isu papua saat ini ðŸ˜žð";neg;tidak bertanggung jawab;Suwardi90538983
146;"""@RobocopMoslem: @mpujayaprema Mudah ditebak.

Isu papua, hilang.
Muncul isu ruu kpk, rkuhp, hilang lg.
Muncul isu perppu, diselingi arte…";pos;hilang;desised_
147;@WagimanDeep @Alfredo_Kaway Ribuan mahasiswa Papua kembali ke Papua, akibat isu diskriminasi dan rasisme.;neg;rasisme;Nong97037373
148;"""@dibyos1: Ah urip, negaraku sakit, ruu ini itu, papua, kpk, dpr, polisi, aksi mahasiswa, isu ham, konspirasi orba.
Ah urip, duniaku saki…";neg;sakit;wordsrror
149;"Iya, tetapi kamu yakin banget begini kan? Yaa, sama saja lah kamu menyalahkan SJW yg berbicara isu Papua sebagai biang keladinya.

Coba saja ditanya ke Netizen yg baik hati dan berpikiran positif di Twitland ini, tendensi kalimat kamu mengarah kemana. ";pos;menyalahkan;uyaboira
150;"""@yogiprabhawa: @fullmoonfolks Malam ini dan malam2 seterusnya. Kita siap2 dengan ulasan TV:
1. Radikalisme
2. ISIS
3. Kerja Inteligen.
4…";pos;ulasan;mr_gobeh
151;"""@ebongBOY: @KanjengRaden_ @aduankonten 1.750 akun penyebar hoaks terkait isu papua ada yang berasal dari luar negeri #SatuHatiUntukNKRI…";neg;penyebar;ogie_hernoko
152;"""@zidanedjunior: Dari ini kita belajar, bahwa politik itu tidak ada lawan sejati yang ada kepentingan abadi.

*Isu Papua.
*Gempa Ambon.
*…";pos;belajar;kkkkkkk007768
153;"""@wesstafari: @AngrySipelebegu @Dandhy_Laksono Bukti tambahan: outsource bayaran buat nutup nutupin isu Papua";pos;nutupin;Andy_Wijaya_90
154;"""@kumparan: Sempat merebak kabar bahwa PBB mendukung Papua untuk merdeka dari Indonesia. @Menlu_RI menegaskan bahwa isu tersebut ialah ho…";neg;hoaks;purirohermawan
155;"Sempat merebak kabar bahwa PBB mendukung Papua untuk merdeka dari Indonesia. 
@Menlu_RI
 menegaskan bahwa isu tersebut ialah hoaks. Simak wawancara eksklusif dengan Menteri Luar Negeri RI, Retno Marsudi dalam 'To The Point' di http://kum.pr/RetnoMarsudi.";neg;hoaks;kumparan
156;"Jadi Ormas apa yang memprovokasi mahasiswa papua di Surabaya dan Malang? 

Entahlah, isu ini tertutup oleh tebalnya… https://t.co/zUpL78FIu6";neg;memprovokasi;habibthabrani
157;"""@KPK_Bokis: Media Tirto penyebar hoax

Disebutkan rasisme pemicu aksi anarkis di Papua, Gub Jatim sdh akui dan minta maaf

Fakta: 

Aksi…";neg;peyebar;sikecilmarmut
158; 1.750 akun penyebar hoaks terkait isu papua ada yang berasal dari luar negeri #SatuHatiUntukNKRI…;neg;penyebar;JokSusi2019
159;"Dari ini kita belajar, bahwa politik itu tidak ada lawan sejati yang ada kepentingan abadi.

*Isu Papua.
*Gempa Ambon.
*…";pos;belajar;ogie_hernoko
160; Bukti tambahan: outsource bayaran buat nutup nutupin isu Papua;pos;nutupin;kkkkkkk007768
161;"Jadi Ormas apa yang memprovokasi mahasiswa papua di Surabaya dan Malang? 

Entahlah, isu ini tertutup oleh tebalnya kabut asap di Kalimantan dan Sumatra";neg;memprovokasi;Andy_Wijaya_90
162;"""@KPK_Bokis: Media Tirto penyebar hoax

Disebutkan rasisme pemicu aksi anarkis di Papua, Gub Jatim sdh akui dan minta maaf

Fakta: 

Aksi…";neg;penyebar;habibthabrani
163;"""@ebongBOY: @KanjengRaden_ @aduankonten 1.750 akun penyebar hoaks terkait isu papua ada yang berasal dari luar negeri #SatuHatiUntukNKRI…";neg;penyebar;sikecilmarmut
164;1.750 akun penyebar hoaks terkait isu papua ada yang berasal dari luar negeri #SatuHatiUntukNKRI #PancasilaBentengNKRI;neg;penyebar;JokSusi2019
165;"""@kumparan: Nada tegas terdengar jelas ketika kumparan menyinggung soal isu Papua Merdeka kepada @Menlu_RI. Baginya, tak ada tawar-menawa…";neg;menyinggung;ebongBOY
166;"Nada tegas terdengar jelas ketika kumparan menyinggung soal isu Papua Merdeka kepada 
@Menlu_RI
. Baginya, tak ada tawar-menawar ketika negara lain mencoba mengusik kedaulatan Indonesia. 

Simak wawancara eksklusif dalam ‘To The Point' di ";neg;menyinggung;umaremania87
167;"Belum ketangkep juga.
Keberadaannya jelas.
Australia memang yng suka ikut cmpur urusan isu papua.";neg;ikut campur;kumparan
168;"""@Ramagomen: Waspada akun @FreeWestPapua dan @VeronicaKoman memanfaatkan isu rusuh Papua untuk menyebarkan HOAX dan provokasi!!! #Pancasi…";neg;provokasi;PurwonoAgus2
169;Sejumlah mahasiswa sempat diprovokasi untuk membuat ricuh di Papua beberapa waktu lalu. Bahkan mereka dipaksa pulang ke Papua oleh senior-senior mereka dari Papua yang sudah tercemar paham separatis. ;neg;diprovokasi;BagongTambeng
170;Ricuh Papua dimulai dari Surabaya, ada ormas yang nggruduk asrama mahasiswa papua. Kata monyet keluar, lalu menyebar. Ricuh papua secara sistematis dipicu oleh entah siapa;neg;ricuh;putra
171;"""@dibyos1: Ah urip, negaraku sakit, ruu ini itu, papua, kpk, dpr, polisi, aksi mahasiswa, isu ham, konspirasi orba.
Ah urip, duniaku saki…";neg;sakit;piyuanker12
172;Aktivis HAM Veronica Koman mengadu ke Parlemen Australia, meminta mereka untuk membantu menghentikan segala tindak kekerasan yang terjadi di Papua. Australia dinilai bisa menekan Indonesia dalam isu ini tanpa melecehkan kedaulatan RI.;pos;ngadu;lilbrontosaurus
173;"""@lokataru_id: Kasus kebebasan akademik yang menyerang LPM @TeropongPENS memenuhi pola isu yang juga marak dialami oleh organ masy sipil…";neg;menyerang;akumichiko
174;"Aktivis HAM Veronica Koman mengadu ke Parlemen Australia, meminta mereka untuk membantu menghentikan segala tindak kekerasan yang terjadi di Papua. Australia dinilai bisa menekan Indonesia dalam isu ini tanpa melecehkan kedaulatan RI.

Selengkapnya di, https://viva.co.id/berita/dunia/1184170-veronica-koman-ngadu-ke-parlemen-australia-minta-setop-kasus-di-papua";pos;ngadu;Bi_ma_bima
175;"Saya nggak maksud membantah. 
Maksud saya, saat kemarin isu Papua panas, banyak oknum yang memanasin kalo negara kita kurang perhatian sama Papua.
Namun, beberapa orang menganggap kita kurang memberikan twit balasan berisi kebijakan pemerintah seperti yang mbak tulis.";neg;memanasin;VIVAcoid
176;"Ada konflik agraria & konflik di Papua -> Naikin isu nasional (KUHP, KPK, PKS, dll) -> Isu agraria & konflik Papua pun tenggelam.

Alur yang menarik~";neg;konflik;NDupuma
177;"""@MerryRiana: Hari begini masih ada saja oknum2 yg tdk bertanggung jawab yg memotong video saya &amp; menempelnya dgn isu papua saat ini ðŸ˜žð";neg;tidak bertanggung jawab;vbrstrdi
178;"""@RobocopMoslem: @mpujayaprema Mudah ditebak.

Isu papua, hilang.
Muncul isu ruu kpk, rkuhp, hilang lg.
Muncul isu perppu, diselingi arte…";pos;hilang;Suwardi90538983
179;@WagimanDeep @Alfredo_Kaway Ribuan mahasiswa Papua kembali ke Papua, akibat isu diskriminasi dan rasisme.;neg;rasisme;desised_
180;"""@Ramagomen: Waspada akun @FreeWestPapua dan @VeronicaKoman memanfaatkan isu rusuh Papua untuk menyebarkan HOAX dan provokasi!!! #Pancasi…";neg;provoksi;BagongTambeng
181;"""@BBCIndonesia: Investigasi BBC menemukan jaringan bot dan informasi palsu yang menyebarkan ""propaganda pro-pemerintah"" dalam isu Papua.…";neg;palsu;bimaraka21
182;"SEMAKIN BANYAK KEHADIRAN TNI /POLRI DI PAPUA MEMBANTU MEMANASKAN ISU POLITIK LUAR NEGRI .
 KEMERDEKAAN BANGSA PAPUA… https://t.co/4yFR9nPvLX";pos;membantu;TbThoby
183;"""@Beritasatu: PBNU Bahas Isu Uighur, Palestina, hingga Papua dengan Dubes AS https://t.co/BXQeNIoYdu https://t.co/PIgVHTpHUQ";pos;bahas;gelora_partai
184;@rizalizmo Ha ha, barudak mahasiswa jeung solidaritas. Dibubarkeun pedah bawa isu Papua.;pos;solidaritas;Ametramadhan
185;"Maksudnya bantu AS pukul Tiongkok, jangan cuma pukul radikal dalam negeri, isu Palestina, Papua, teroris lokal,,,

noh Tiongkok lu lawan berani nggak ..

nggak berani... melipir ,,, geser dangdutan";neg;radikal;reconWaRRioRs
186;Bro sesama pendukung NKRI. Share image ini nih. Si Veronika Koman itu kan menjadikan isu papua untuk mencari popularitas. Nah sekarang dia lagi berlindung di Australia, eh ikut-ikut ngomongin Australia.;neg;mencari popularitas;FeriKur30046347
187;"""@jagalabilawa01: @adistidistia @alvaro3_lee3_ @henrijova @and_reavie @BackSelf Jangan terjebak propaganda isu aborigin.. Aborigin dan pa…";pos;terjebak;oroorodowo04
188;Tapi dari sekian banyak isu miring tentang PTFI, banyak juga yang gak tau kalo PTFI udah banyak berjasa bagi masyarakat Papua, terutama yang menjadi karyawan mereka;pos;berjasa;unggarabakti
189;Indonesia Masuk Dewan HAM PBB, Pengamat: Dunia Akan Objektif terhadap Isu Papua https://t.co/jnNiveDkSe;pos;masuk;majalahwekonews
190;Veronica Koman, seorang pengacara HAM, ditetapkan sebagai tersangka provokator mengenai isu Papua.Tunggu sebentar, provokat…;neg;provokator;HarrySibi1
191; Orba dulu menggunakan isu PKI untuk membantai Ulama' NU.Orba juga menggunakan isu santet di Banyuwangi untuk membantai Ula…;neg;membantai;AmstrongBiring
192;"Iya, tetapi kamu yakin banget begini kan? Yaa, sama saja lah kamu menyalahkan SJW yg berbicara isu Papua sebagai biang keladinya.

Coba saja ditanya ke Netizen yg baik hati dan berpikiran positif di Twitland ini, tendensi kalimat kamu mengarah kemana. ";neg;menyalahkan;dibyos1
193;"""@yogiprabhawa: @fullmoonfolks Malam ini dan malam2 seterusnya. Kita siap2 dengan ulasan TV:
1. Radikalisme
2. ISIS
3. Kerja Inteligen.
4…";pos;ulasan;uyaboira
194;@omarnatakusuma 1. Di papua kan emang lagi rusuh. Semua isu bisa keikut. 98 isu nya bukan rasisme, kenapa cina yang… https://t.co/64SzicHUkg;neg;rusuh;amflife
195;"""@CantikKunti: Bangun Papua dengan tdk terpancing isu eksodus..
#PestaRakyatNKRI 
#PestaRakyatNKRI https://t.co/IQ7Xn8Nnv1";pos;bangun;rehuellahangela
196;Indonesia Terpilih Menjadi Dewan HAM PBB Di Tengah Panasnya Isu Papua https://t.co/ycXRFFInJv https://t.co/NB5n3YgWqp;pos;terpilih;Ungke64473955
197;#VeronikaKoman didampingi oleh LSM Amnesty International Australia, menemui Sub Komite HAM Parlemen Australia memin… https://t.co/xfAKP0RQ94;pos;menemui;5News_Pati
198;" Bangun Papua dengan tdk terpancing isu eksodus..
#PestaRakyatNKRI 
#PestaRakyatNKRI https://t.co/IQ7Xn8Nnv1";pos;bangun;papuakicau
199;" Akhirnya PBB memutuskan bahwa papua tetap dalam kedaulatan negara Republik Indonesia.. 
Dan menolak semua usulan referendum pa…";pos;kedaulatan;WSumpiuh
200; @AngrySipelebegu @Dandhy_Laksono Bukti tambahan: outsource bayaran buat nutup nutupin isu Papua;pos;nutupin;Andy_Wijaya_90
